71710.98680621033,0.0005,[13],1000
72613.7500921812,0.0005,[13],1100
70292.77150363779,0.0005,[13],1200
71759.02714407862,0.0005,[13],1300
70764.1123355843,0.0005,[13],1400
72401.99095214439,0.0005,[13],1500
72024.90211921425,0.0005,[13],1600
69919.99862868617,0.0005,[13],1700
71138.84264205725,0.0005,[13],1800
70972.77042495657,0.0005,[13],1900
71019.04632299943,0.0005,[13],2000
70167.08799948884,0.0005,[13],2100
70430.89265701681,0.0005,[13],2200
69847.31086942006,0.0005,[13],2300
70900.57623047844,0.0005,[13],2400
68860.68463157552,0.0005,[13],2500
223515.30477491932,0.0005,[13],2600
69505.29540173634,0.0005,[13],2700
69102.87548247715,0.0005,[13],2800
69111.49616815473,0.0005,[13],2900
69252.83469863467,0.0005,[13],3000
69433.45792724175,0.0005,[13],3100
68797.45380032739,0.0005,[13],3200
223515.30477491932,0.0005,[13],3300
68813.12994916683,0.0005,[13],3400
68891.89304547734,0.0005,[13],3500
68881.24293217727,0.0005,[13],3700
68953.7155423005,0.0005,[13],3600
68912.16470401178,0.0005,[13],3800
68776.92070430296,0.0005,[13],3900
68911.65228430674,0.0005,[13],4000
68946.9887274143,0.0005,[13],4100
68807.58016243951,0.0005,[13],4200
223515.30477491932,0.0005,[13],4300
68863.91985725157,0.0005,[13],4500
68825.36131245302,0.0005,[13],4400
68834.57533086615,0.0005,[13],4600
223515.30477491932,0.0005,[13],4700
68787.35699263144,0.0005,[13],4800
68802.6783515802,0.0005,[13],4900
68776.67526871416,0.0005,[13],5000
68776.41151225448,0.0005,[13],5100
72428.2897800523,0.0005,[10, 10],1000
68808.25705272301,0.0005,[13],5300
223515.30477491932,0.0005,[13],5200
70839.705423766,0.0005,[10, 10],1100
68791.22333700574,0.0005,[13],5400
70977.99983937133,0.0005,[10, 10],1200
68776.29252219647,0.0005,[13],5500
68776.30893777637,0.0005,[13],5600
69011.77946954635,0.0005,[10, 10],1300
69406.37884978566,0.0005,[10, 10],1400
68776.43593820054,0.0005,[13],5700
223515.30477491932,0.0005,[10, 10],1500
70612.01683877333,0.0005,[10, 10],1600
70102.58645947384,0.0005,[10, 10],1700
223515.30477491932,0.0005,[10, 10],1800
68782.92101327659,0.0005,[13],5800
223515.30477491932,0.0005,[10, 10],1900
68776.54715106543,0.0005,[13],5900
69380.89178452143,0.0005,[10, 10],2000
69597.21118987096,0.0005,[10, 10],2100
69263.18819754197,0.0005,[10, 10],2200
223515.30477491932,0.0005,[10, 10],2300
68823.08828649766,0.0005,[10, 10],2400
69224.8439316156,0.0005,[10, 10],2500
68877.00416695655,0.0005,[10, 10],2600
223515.30477491932,0.0005,[10, 10],2700
223515.30477491932,0.0005,[10, 10],2800
223515.30477491932,0.0005,[10, 10],2900
223515.30477491932,0.0005,[10, 10],3000
223515.30477491932,0.0005,[10, 10],3100
68780.39988518484,0.0005,[10, 10],3200
68786.66938507512,0.0005,[10, 10],3300
68810.92242521083,0.0005,[10, 10],3400
68817.62189396835,0.0005,[10, 10],3500
68776.23538182203,0.0005,[10, 10],3600
68776.33936361723,0.0005,[10, 10],3700
223515.30477491932,0.0005,[10, 10],3800
223515.30477491932,0.0005,[10, 10],3900
68782.46569114187,0.0005,[10, 10],4000
223515.30477491932,0.0005,[10, 10],4100
68778.52982713499,0.0005,[10, 10],4200
68776.97553528412,0.0005,[10, 10],4300
68776.32756224791,0.0005,[10, 10],4400
68776.28105363446,0.0005,[10, 10],4500
68778.49326939399,0.0005,[10, 10],4700
68777.06300550136,0.0005,[10, 10],4600
68776.66527772798,0.0005,[10, 10],4800
223515.30477491932,0.0005,[10, 10],4900
223515.30477491932,0.0005,[8, 8],1000
68777.91288271533,0.0005,[10, 10],5000
223515.30477491932,0.0005,[8, 8],1100
68776.47827432059,0.0005,[10, 10],5200
68776.32987284342,0.0005,[10, 10],5100
223515.30477491932,0.0005,[10, 10],5300
69463.47613726144,0.0005,[8, 8],1200
71997.91058136054,0.0005,[8, 8],1300
223515.30477491932,0.0005,[10, 10],5400
69090.33957602418,0.0005,[8, 8],1400
223515.30477491932,0.0005,[8, 8],1500
70616.03234813786,0.0005,[8, 8],1600
68776.06838073379,0.0005,[10, 10],5500
70678.57387227073,0.0005,[8, 8],1700
223515.30477491932,0.0005,[8, 8],1800
223515.30477491932,0.0005,[10, 10],5700
223515.30477491932,0.0005,[10, 10],5600
69349.20767508601,0.0005,[8, 8],1900
69904.29281904691,0.0005,[8, 8],2000
223515.30477491932,0.0005,[8, 8],2100
68776.1988294238,0.0005,[10, 10],5800
68823.44125677877,0.0005,[8, 8],2200
223515.30477491932,0.0005,[10, 10],5900
68902.70953855502,0.0005,[8, 8],2300
69687.44218699643,0.0005,[8, 8],2400
68841.9539622427,0.0005,[8, 8],2500
69292.877013501,0.0005,[8, 8],2600
68977.99685709854,0.0005,[8, 8],2700
223515.30477491932,0.0005,[8, 8],2800
